case_id,transcript_cap_count,reference_cap_count,cluster_count,reference_cluster_count,concept_precision,concept_recall,concept_f1,state_precision,state_recall,state_f1,transcript_cap_runtime_seconds,reference_cap_runtime_seconds
D2N093,37,16,28,16,0.25,0.4375,0.3182,0.0714,0.125,0.0909,108.705,79.722
D2N007,13,15,8,10,0.625,0.5,0.5556,0.5,0.4,0.4444,84.51,48.265
D2N119,20,22,12,19,0.25,0.1579,0.1935,0.1667,0.1053,0.129,138.937,77.335
D2N078,22,18,18,17,0.2222,0.2353,0.2286,0.1111,0.1176,0.1143,101.991,32.495
D2N140,30,21,22,21,0.0909,0.0952,0.093,0.0,0.0,0.0,106.437,29.002
D2N135,12,13,12,13,0.1667,0.1538,0.16,0.0833,0.0769,0.08,35.689,31.083
D2N003,31,23,22,21,0.3182,0.3333,0.3256,0.2273,0.2381,0.2326,69.765,90.796
D2N150,13,8,10,6,0.2,0.3333,0.25,0.2,0.3333,0.25,77.629,32.287
D2N162,19,10,17,9,0.0,0.0,0.0,0.0,0.0,0.0,76.861,19.378
D2N182,40,14,31,10,0.129,0.4,0.1951,0.0968,0.3,0.1463,121.928,40.136
D2N025,40,19,34,15,0.1471,0.3333,0.2041,0.0588,0.1333,0.0816,86.112,34.252
D2N096,24,13,19,12,0.0526,0.0833,0.0645,0.0526,0.0833,0.0645,90.953,19.476
D2N055,28,8,24,8,0.0833,0.25,0.125,0.0417,0.125,0.0625,69.913,21.783
D2N001,28,25,23,21,0.3913,0.4286,0.4091,0.087,0.0952,0.0909,116.866,52.995
D2N012,22,12,20,12,0.2,0.3333,0.25,0.1,0.1667,0.125,59.1,26.696
D2N076,32,7,26,6,0.0769,0.3333,0.125,0.0769,0.3333,0.125,148.77,34.548
D2N047,16,4,14,3,0.0,0.0,0.0,0.0,0.0,0.0,96.15,20.766
D2N166,33,26,27,25,0.1111,0.12,0.1154,0.0741,0.08,0.0769,105.718,57.661
D2N009,17,14,10,11,0.2,0.1818,0.1905,0.1,0.0909,0.0952,101.688,29.41
D2N057,29,18,19,14,0.0526,0.0714,0.0606,0.0,0.0,0.0,119.12,58.85
D2N157,31,34,25,28,0.36,0.3214,0.3396,0.24,0.2143,0.2264,80.235,59.172
D2N134,26,27,22,20,0.5,0.55,0.5238,0.3636,0.4,0.381,58.487,47.939
D2N052,15,12,11,12,0.3636,0.3333,0.3478,0.2727,0.25,0.2609,32.568,36.005
D2N097,15,5,14,5,0.1429,0.4,0.2105,0.1429,0.4,0.2105,67.606,34.644
D2N014,20,10,17,9,0.1765,0.3333,0.2308,0.1176,0.2222,0.1538,104.37,41.218
D2N180,13,34,13,33,0.6154,0.2424,0.3478,0.3846,0.1515,0.2174,192.567,56.213
D2N045,13,5,8,5,0.125,0.2,0.1538,0.125,0.2,0.1538,32.303,20.44
D2N117,33,14,24,14,0.0833,0.1429,0.1053,0.0417,0.0714,0.0526,147.659,63.877
D2N051,35,13,24,12,0.125,0.25,0.1667,0.0417,0.0833,0.0556,163.627,48.23
D2N190,45,29,31,26,0.129,0.1538,0.1404,0.0968,0.1154,0.1053,244.699,66.055
D2N148,30,6,22,6,0.1364,0.5,0.2143,0.0,0.0,0.0,122.89,20.343
D2N168,22,15,16,12,0.375,0.5,0.4286,0.25,0.3333,0.2857,138.332,61.174
D2N020,28,20,22,14,0.1818,0.2857,0.2222,0.1364,0.2143,0.1667,108.644,32.339
D2N188,23,6,15,5,0.2,0.6,0.3,0.1333,0.4,0.2,183.113,21.164
D2N139,26,3,19,3,0.0526,0.3333,0.0909,0.0526,0.3333,0.0909,180.57,22.391
D2N101,36,9,23,9,0.0435,0.1111,0.0625,0.0435,0.1111,0.0625,193.987,56.343
D2N129,29,10,21,9,0.0952,0.2222,0.1333,0.0952,0.2222,0.1333,151.089,48.809
D2N194,17,9,11,7,0.1818,0.2857,0.2222,0.0909,0.1429,0.1111,64.769,72.269
D2N171,22,8,19,7,0.1579,0.4286,0.2308,0.1053,0.2857,0.1538,99.276,36.032
D2N141,19,25,14,24,0.2143,0.125,0.1579,0.1429,0.0833,0.1053,134.418,155.138
D2N205,22,12,16,12,0.125,0.1667,0.1429,0.125,0.1667,0.1429,154.799,36.664
D2N070,34,26,24,19,0.25,0.3158,0.2791,0.0833,0.1053,0.093,135.761,99.461
D2N195,28,23,19,18,0.3158,0.3333,0.3243,0.2105,0.2222,0.2162,165.079,106.364
D2N137,20,12,17,11,0.1765,0.2727,0.2143,0.0,0.0,0.0,120.058,35.908
D2N074,19,19,10,18,0.1,0.0556,0.0714,0.1,0.0556,0.0714,176.418,94.925
D2N082,18,18,15,18,0.0667,0.0556,0.0606,0.0,0.0,0.0,90.154,29.23
D2N196,26,11,19,11,0.1053,0.1818,0.1333,0.1053,0.1818,0.1333,62.635,45.237
D2N199,45,15,36,14,0.1944,0.5,0.28,0.1389,0.3571,0.2,115.518,47.155
D2N147,18,10,11,10,0.1818,0.2,0.1905,0.0909,0.1,0.0952,56.006,24.254
D2N042,20,14,15,13,0.1333,0.1538,0.1429,0.1333,0.1538,0.1429,44.187,25.882
D2N138,48,22,34,19,0.2353,0.4211,0.3019,0.1765,0.3158,0.2264,252.211,84.27
D2N041,23,22,16,19,0.375,0.3158,0.3429,0.1875,0.1579,0.1714,111.675,42.669
D2N065,20,12,15,11,0.2,0.2727,0.2308,0.1333,0.1818,0.1538,48.345,26.476
D2N169,24,8,18,8,0.0556,0.125,0.0769,0.0,0.0,0.0,55.62,35.591
D2N197,21,12,13,10,0.2308,0.3,0.2609,0.2308,0.3,0.2609,48.217,29.774
D2N202,16,13,10,11,0.4,0.3636,0.381,0.4,0.3636,0.381,52.051,37.396
D2N058,28,19,20,14,0.35,0.5,0.4118,0.35,0.5,0.4118,85.554,36.181
D2N172,17,11,12,7,0.3333,0.5714,0.4211,0.25,0.4286,0.3158,62.841,23.033
D2N004,33,10,26,10,0.0769,0.2,0.1111,0.0769,0.2,0.1111,131.42,49.798
D2N191,35,12,27,10,0.2222,0.6,0.3243,0.1852,0.5,0.2703,142.715,26.355
D2N013,24,6,19,6,0.1579,0.5,0.24,0.1053,0.3333,0.16,54.334,17.629
D2N046,18,19,16,18,0.25,0.2222,0.2353,0.0625,0.0556,0.0588,64.999,34.093
D2N184,24,4,23,4,0.0,0.0,0.0,0.0,0.0,0.0,51.081,22.562
D2N146,20,4,13,4,0.1538,0.5,0.2353,0.0,0.0,0.0,141.374,26.005
D2N200,19,4,17,4,0.0588,0.25,0.0952,0.0588,0.25,0.0952,136.065,21.281
D2N126,20,0,17,0,0.0,0.0,0.0,0.0,0.0,0.0,97.875,13.383
D2N068,40,25,33,24,0.303,0.4167,0.3509,0.0909,0.125,0.1053,159.908,104.777
D2N118,50,16,35,12,0.2286,0.6667,0.3404,0.1714,0.5,0.2553,169.408,44.265
D2N077,30,6,24,6,0.0,0.0,0.0,0.0,0.0,0.0,85.728,29.213
D2N158,20,21,15,19,0.4667,0.3684,0.4118,0.4,0.3158,0.3529,61.541,49.918
